label,status,normalize,reflect,bitblast,cnf,dimacs,solve,lrat_read,expr_def,cert_def,verify,assign,total,aig_nodes,cnf_clauses,lrat_file_bytes,lrat_steps,cert_bytes
BB18_dist_z_cnf,error,294.418,5.110,2.989,1.179,2.902,,,,,,,448.436,625,1678,,,
BB18_dist_x_cnf,error,276.797,2.138,0.774,0.364,0.775,,,,,,,359.639,625,1678,,,
BB54_dist_z_cnf,error,1463.056,15.833,14.544,2.633,4.849,,,,,,,1603.820,3094,6550,,,
BB54_dist_x_cnf,error,2261.989,21.370,17.248,3.595,3.897,,,,,,,2458.492,3010,6091,,,
GB54_dist_z_cnf,error,1596.669,15.113,13.965,5.053,49.533,,,,,,,1820.480,4882,9667,,,
GB54_dist_x_cnf,error,1751.186,16.582,12.468,4.485,5.438,,,,,,,1934.817,4882,9667,,,
BB70_dist_z_cnf,error,2883.607,27.307,25.402,7.829,9.628,,,,,,,3111.549,6750,13093,,,
BB70_dist_x_cnf,error,2871.846,25.804,26.326,4.333,4.028,,,,,,,3088.276,6912,13120,,,
BB72_dist_z_cnf,error,2559.328,28.753,22.531,4.790,6.682,,,,,,,2723.705,4203,9530,,,
BB72_dist_x_cnf,error,2570.296,23.016,16.941,4.906,5.235,,,,,,,2708.613,4734,9575,,,
BB90_dist_z_cnf,error,3548.918,28.647,35.453,6.545,8.063,,,,,,,3724.937,9281,17086,,,
BB90_dist_x_cnf,error,3622.390,27.254,32.002,4.885,7.744,,,,,,,3783.989,8369,16456,,,
BB108_dist_z_cnf,error,4883.919,44.483,72.064,11.325,12.769,,,,,,,5186.180,14477,19831,,,
BB108_dist_x_cnf,error,4068.039,38.806,65.125,9.723,10.725,,,,,,,4288.973,12956,19372,,,
BB144_dist_z_cnf,error,7701.850,57.690,121.426,14.309,12.586,,,,,,,8010.720,18791,31695,,,
BB144_dist_x_cnf,error,8414.791,61.660,116.355,16.229,11.903,,,,,,,8712.935,23330,32568,,,
BB162_dist_z_cnf,error,11240.781,99.357,218.455,28.077,24.465,,,,,,,11737.367,32631,41213,,,
BB162_dist_x_cnf,error,9527.571,62.566,154.200,15.256,12.059,,,,,,,9876.498,29649,39215,,,
BB180_dist_z_cnf,error,10705.184,93.231,224.197,33.146,28.287,,,,,,,11197.105,52011,52087,,,
BB180_dist_x_cnf,error,10833.651,90.422,234.239,20.533,23.817,,,,,,,11315.021,39714,47182,,,
BB288_dist_z_cnf,error,35976.691,281.324,896.115,82.899,59.294,,,,,,,37729.476,78464,92317,,,
BB288_dist_x_cnf,error,38923.335,260.016,814.987,76.047,39.508,,,,,,,40312.314,113309,93253,,,
