seed,time_solve,size_bytes
666, 179.87583088874817, 349716747
599, 192.70174741744995, 306010007
498, 190.73928380012512, 346913485
651, 200.88095688819885, 348485800
933, 206.0142695903778, 346585101
56, 187.63921809196472, 343017730
598, 214.82706546783447, 333466754
206, 225.86592936515808, 342130565
678, 177.42241787910461, 307178358
799, 193.8561065196991, 315626165
684, 177.43819952011108, 320167756
415, 177.32639288902283, 301565296
356, 184.02912139892578, 294714634
180, 160.57713270187378, 297276619
726, 200.30222535133362, 326218780
691, 180.916827917099, 306549397
713, 209.96890950202942, 344784594
252, 195.77481603622437, 305229656
106, 194.7180724143982, 332836040
205, 172.25223398208618, 327528192
454, 126.97308397293091, 261750147
405, 185.4583740234375, 314055499
997, 204.9067280292511, 378848052
239, 203.28668594360352, 337139386
899, 186.4128177165985, 302943178
903, 203.06822800636292, 338574228
520, 187.07588648796082, 315941648
487, 198.24323391914368, 341107761
120, 177.48723602294922, 303883806
947, 197.70434045791626, 315713326
277, 233.93303894996643, 335599710
65, 185.34881496429443, 318626554
360, 185.0490107536316, 338791417
117, 191.27393293380737, 299674259
850, 158.36406779289246, 287291079
103, 169.15637469291687, 317632009
372, 236.32289958000183, 389764459
214, 235.28808093070984, 394976683
821, 195.08378767967224, 355490579
985, 162.19151663780212, 293348737
581, 174.7690451145172, 296574580
448, 186.0094931125641, 309994306
207, 182.60225534439087, 330003732
789, 179.5063292980194, 310359892
332, 240.00035190582275, 397720918
25, 227.7341811656952, 357306395
456, 187.59490180015564, 301995894
158, 176.4295802116394, 334694782
351, 252.23032116889954, 386452934
567, 175.31766629219055, 312882104
43, 208.01218676567078, 365488097
0, 215.015469789505, 342177692
796, 219.4234516620636, 365893691
35, 161.02131819725037, 284351035
116, 206.01736569404602, 310428603
51, 195.37706756591797, 353074104
20, 201.31467580795288, 315136562
952, 206.74027514457703, 381205375
410, 214.62844324111938, 430095341
72, 159.67376947402954, 294897926
769, 208.46672582626343, 368060310
264, 206.01380729675293, 323789469
181, 192.9117591381073, 325937834
128, 223.04781413078308, 360822650
87, 175.16504216194153, 325526205
469, 182.84293007850647, 307689944
213, 202.9537534713745, 354643018
384, 179.5554919242859, 321178151
857, 186.39417552947998, 319748200
172, 203.8657910823822, 331322974
203, 218.77327346801758, 356373457
793, 164.9407615661621, 298711088
670, 180.0144898891449, 311734283
644, 178.1790463924408, 305047596
459, 179.51420664787292, 308412192
434, 188.9525487422943, 296010187
554, 188.7591371536255, 321092251
170, 226.42961287498474, 327496543
604, 182.2160255908966, 282681234
893, 186.55578207969666, 313174872
749, 193.45698308944702, 337392008
699, 184.54042506217957, 308364717
437, 231.4443256855011, 381987630
627, 181.9332935810089, 327056578
862, 195.7493953704834, 335136852
256, 209.39817881584167, 330218383
750, 174.83734703063965, 318543823
658, 159.10368394851685, 277124268
971, 241.66708540916443, 374992426
357, 198.45907950401306, 311349246
994, 217.3744239807129, 366653097
164, 196.86001682281494, 363786280
863, 202.47520637512207, 327577160
241, 193.90135407447815, 327378666
297, 176.6482539176941, 304409678
85, 200.87532591819763, 327497659
388, 156.63293313980103, 290731821
412, 189.23605918884277, 331463875
232, 192.85429525375366, 311963236
367, 194.8827829360962, 319802680
760, 194.83524537086487, 363566643
584, 199.6114377975464, 335392103
322, 206.44821047782898, 341267766
766, 175.58476281166077, 326974074
168, 170.71874833106995, 326399235
291, 198.23449230194092, 316599933
31, 210.47215914726257, 362809931
19, 223.62298583984375, 329162371
306, 238.93734645843506, 388972474
802, 210.75929164886475, 333396729
835, 179.97797536849976, 336782480
119, 191.19051933288574, 311720671
305, 180.9239842891693, 319749161
774, 190.26029634475708, 319304051
105, 188.41453409194946, 309342714
524, 139.57767462730408, 299319505
325, 174.08780145645142, 314282036
59, 231.76921939849854, 391835339
949, 198.15765404701233, 330891188
341, 276.5130784511566, 329033622
97, 236.79957699775696, 378564688
483, 211.97567105293274, 299523285
247, 196.94432497024536, 358197556
4, 242.95504093170166, 403088682
959, 208.46474742889404, 357108662
904, 215.02407026290894, 365423907
248, 235.05239343643188, 367484671
293, 188.00351738929749, 318567570
292, 204.14584612846375, 353251650
447, 148.8044593334198, 284307347
333, 172.03660011291504, 306237920
756, 190.83903646469116, 299622960
953, 186.84208703041077, 326252959
71, 167.06649518013, 311296936
175, 213.03957176208496, 342333486
754, 178.70878624916077, 299778841
275, 174.35154914855957, 299866003
724, 223.59555172920227, 361415494
9, 217.47546815872192, 348189161
160, 192.88373804092407, 344876925
637, 169.469486951828, 279296603
738, 208.48013710975647, 334666154
660, 205.49326634407043, 350655033
484, 199.0848424434662, 322938658
632, 166.66506218910217, 309636666
244, 188.7134780883789, 330634668
251, 192.92850279808044, 315471193
698, 212.91488099098206, 377099966
580, 190.8779010772705, 332508588
217, 193.9182243347168, 357131821
894, 186.36236000061035, 306552493
927, 190.06485104560852, 310816191
352, 173.30183339118958, 315818157
421, 199.4554796218872, 352583783
113, 204.50071740150452, 341615868
320, 200.71541166305542, 323951947
805, 176.6146695613861, 286839709
773, 184.48636198043823, 313743570
246, 214.1910915374756, 330763899
586, 210.364075422287, 354050368
294, 200.75936913490295, 328738458
326, 215.05500650405884, 356769843
392, 171.732741355896, 285037304
775, 200.33022260665894, 331566722
10, 191.45438385009766, 308565408
153, 181.62760663032532, 324472660
480, 212.52360701560974, 356486802
886, 199.79513478279114, 361966775
18, 193.76899075508118, 309423125
571, 152.68990564346313, 278596361
488, 217.38772559165955, 348789906
525, 181.51617789268494, 309496494
530, 206.86160564422607, 320203280
54, 146.82008337974548, 268436030
285, 157.27740097045898, 296303899
876, 187.82675004005432, 309353776
313, 201.73708844184875, 352685079
909, 223.58248925209045, 414428157
882, 167.71598291397095, 335652979
523, 168.4639663696289, 313094892
996, 168.7013864517212, 289048469
676, 204.85624051094055, 352661550
130, 174.25095748901367, 287176330
397, 195.0893259048462, 325704222
820, 183.5624372959137, 322348102
288, 192.7352316379547, 348242555
648, 156.80402159690857, 272545503
528, 185.36872482299805, 329965518
720, 197.3882658481598, 331689520
196, 206.7560887336731, 319774136
268, 174.12492656707764, 308543684
100, 183.87278032302856, 320930014
844, 174.92786526679993, 314693499
851, 189.66893029212952, 348182949
868, 181.40421533584595, 295785137
342, 161.0048325061798, 339422112
631, 177.8291962146759, 304392659
187, 207.34147953987122, 343845723
129, 221.8480396270752, 350976819
514, 173.25723791122437, 307537155
102, 168.6569426059723, 312845257
706, 199.24115586280823, 342214160
526, 228.19095373153687, 368609885
298, 205.96346282958984, 320409333
943, 173.8555464744568, 311069164
58, 219.02212071418762, 359535451
494, 192.51788067817688, 336120027
544, 174.8733732700348, 285102145
89, 233.93460631370544, 363499238
390, 192.94124102592468, 393889046
986, 186.2355854511261, 310567229
560, 223.37913417816162, 372472841
345, 175.92293787002563, 314669261
693, 189.56067156791687, 304847439
115, 194.04434275627136, 365129747
394, 161.98471879959106, 300696160
625, 205.3853199481964, 350723579
747, 165.6172342300415, 296472188
539, 192.42909860610962, 367324371
638, 194.96722388267517, 329220756
470, 212.83731603622437, 322400717
603, 174.0648069381714, 291558271
661, 205.80422711372375, 349918241
914, 198.26149606704712, 328839654
890, 179.89853715896606, 316265966
169, 186.00298643112183, 312311378
549, 188.80621767044067, 346404681
559, 179.71721696853638, 310018705
414, 196.0324854850769, 345522691
212, 213.8889627456665, 366190623
152, 192.12741017341614, 347330700
957, 214.2069435119629, 350836891
546, 246.3369791507721, 383032327
981, 181.74006748199463, 310680310
961, 180.39913249015808, 326294336
