file,solve_time,num_vars,num_clauses
bv_decide_queries\BB108_x_dist.cnf,14.28125,15553,40861
bv_decide_queries\BB108_x_rank.cnf,0.0,1762,4536
bv_decide_queries\BB108_z_dist.cnf,16.1875,17010,44588
bv_decide_queries\BB108_z_rank.cnf,0.0,1762,4536
bv_decide_queries\BB144_x_dist.cnf,147.765625,29712,78234
bv_decide_queries\BB144_x_rank.cnf,0.0,2450,6108
bv_decide_queries\BB144_z_dist.cnf,124.109375,22301,59301
bv_decide_queries\BB144_z_rank.cnf,0.0,2450,6108
bv_decide_queries\BB18_x_dist.cnf,0.015625,1143,2963
bv_decide_queries\BB18_x_rank.cnf,0.0,176,454
bv_decide_queries\BB18_z_dist.cnf,0.0,1143,2963
bv_decide_queries\BB18_z_rank.cnf,0.0,176,454
bv_decide_queries\BB70_x_dist.cnf,8.015625,9433,24869
bv_decide_queries\BB70_x_rank.cnf,0.0,1339,3467
bv_decide_queries\BB70_z_dist.cnf,7.875,9688,25538
bv_decide_queries\BB70_z_rank.cnf,0.0,1339,3467
bv_decide_queries\BB72_x_dist.cnf,0.328125,7860,20534
bv_decide_queries\BB72_x_rank.cnf,0.0,983,2539
bv_decide_queries\BB72_z_dist.cnf,0.296875,7113,18621
bv_decide_queries\BB72_z_rank.cnf,0.0,983,2539
bv_decide_queries\BB90_x_dist.cnf,14.4375,12062,31824
bv_decide_queries\BB90_x_rank.cnf,0.0,1419,3663
bv_decide_queries\BB90_z_dist.cnf,16.4375,13210,34776
bv_decide_queries\BB90_z_rank.cnf,0.0,1419,3663
bv_decide_queries\GB54_x_dist.cnf,11.84375,7032,18506
bv_decide_queries\GB54_x_rank.cnf,0.0,1352,3482
bv_decide_queries\GB54_z_dist.cnf,12.5625,7032,18506
bv_decide_queries\GB54_z_rank.cnf,0.0,1352,3482
bv_decide_queries\golay_dist.cnf,3.984375,1711,4475
bv_decide_queries\steane_dist.cnf,0.0,266,672
